news	explanation	label
中国拒绝世卫组织参观武汉实验室？	中国拒绝世卫组织派代表团去武汉第四实验室进行评估。国家卫生健康委国际司监察专员李明柱对此回应称，“世界卫生组织从来没有就参观某一个实验室提出过（请求），‘中国拒绝世界卫生组织去武汉实验室’这种说法是不符合事实的。”事实上，中方两次邀请世界卫生组织来中国现场考察。1月20日、21日，中方接待世界卫生组织的专家组到湖北武汉进行现场考察，其中也包括实验室；2月16日到24日，还接待了中国-世卫组织联合专家考察组，专家组分别赴北京、四川、广东和湖北武汉全方位深入调研。	假
比亚迪未获美国认证丢失口罩订单，或将损失5亿美元？	美国加州向中国比亚迪公司订购的价值约10亿美元的口罩，数百万个原定本周运达的N95口罩因为联邦认证过程中的问题而被延误了。加州紧急事务办公室表示，由于未能在4月30日截止日期前拿到美国国家职业安全卫生研究所（NIOSH）认证，比亚迪将退还该州为一笔价值约10亿美元的口罩合同支付的预付款的一半，即2.47亿美元。有传言称NIOSH就是故意拖延比亚迪口罩的认证时间，这样导致比亚迪不能按期交付，只能认栽赔钱。比亚迪相关人士向媒体表示：1.此次是N95口罩订单延迟交付，而非订单取消，受影响的仅为N95口罩的交付，一次性医用口罩的交付未受影响，同时加州还追加了一次性医用口罩的新订单；2.比亚迪还回去的是加州提前给的N95口罩部分订金，实际N95口罩还没有发货；3.比亚迪N95口罩的 NIOSH认证时间延误，导致产品5月的交付延迟，产品品质没有任何问题；目前比亚迪相关型号口罩已取得国内医疗器械注册证、生产许可证，通过CE MDR认证和澳大利亚TGA注册、加拿大MDEL注册，获得美国FDA EUA授权，产品符合YY/T 0969、GB 19083、AS4381、EN14683等标准，并通过了日本卫生材料工业联合会测试；4.此事对比亚迪没有造成损失，目前N95口罩全球需求旺盛，比亚迪还在不断增加产能，满足更多需求，帮助全球更多的人民一起抗疫。	假
连续2名学生返校戴口罩跑步导致猝死？	4月24日，河北郸城县一名15岁学生在体育课时猝死，家长查看监控后称，家长查看监控称 ，自己孩子事发时戴着口罩跑步，怀疑这就是死因。4月30日，长沙市一名14岁初三学生上体育课时猝死。网传的聊天截图也称，该生是在体考一千米测试过程中戴着N95口罩跑步，呼吸不畅引发的猝死。陕西中医药大学教授曹兰秀在接受媒体采访时表示，戴着口罩跑步和猝死之间并没有必然的联系。其他卫生专家受访时表示，猝死的原因有很多种，疫情期间长时间的不锻炼，然后跑步前未进行充分热身都是可能原因。北京阜外医院心外科副教授孙宏涛撰文指出，N95口罩的密闭性很好，会导致呼吸不完全顺畅，呼出的气体有一定的数量停留在口腔与口鼻形成的空间里面，再反复吸入则会导致体内的二氧化碳水平提高而氧含量下降。另外，N95口罩明显增加呼吸阻力，锻炼时戴着这样一个负担，很可能对孩子肺功能带来额外的损害。所以即便是医护人员戴也要严格遵守4小时的工作时限要求，孩子则更不能长时间佩戴，运动时更不推荐。孙宏涛副教授建议，刚刚复课的学校暂时不要进行激烈的竞技性体育比赛，循序渐进地恢复孩子们的体育锻炼，激烈运动时不要佩戴口罩，尤其是N95口罩。每年因为体育锻炼而导致学生猝死的例子不胜枚举，而在今年，或许是因为疫情的关系，这样的事例更为引人关注。	待论证
钟南山称有证据证实连花清瘟对治疗新冠肺炎有效？	中国工程院院士钟南山在5月4日与留学生连线答疑时称：我们刚刚做完一个实验很快就要发表了，第一次在世界上用非常充足的证据证实连花清瘟有效，帮助病人的恢复。钟南山介绍，连花清瘟胶囊的成分包括麻杏石甘汤，再加上红花。他透露，这次实验做得比较认真。他们在P3实验室，让细胞染上新冠病毒。离体实验发现，连花清瘟胶囊对病毒抑制作用有一些，但是很弱。但是它的好处是，对病毒引起的细胞损伤、炎症有很好的修复作用。连花清瘟胶囊有以下作用：第一，服用后患者症状改善得比较快，比对照组早两天；第二，患者CT片子的恢复得比对照组快；第三，患者体温下降有显著性差异，发热有时间缩短。但是，服用后能否使病毒转阴，实验组与对照组有缩短，但是没有显著性差异。钟南山说，80%以上患者都属于普通型新冠患者，连花清瘟胶囊比较适合普通的新冠肺炎患者。	真
日本诺贝尔医学奖得主称新冠病毒“中国研制”？	美国社交媒体有传言称，曾任美国国立卫生研究院访问研究员的日本诺贝尔医学奖得主本庶佑（Tasuku Honjo）教授爆料说，自己曾在武汉研究所工作，并称新冠病毒是“中国研制”的。本庶佑教授很快就亲自发表声明予以澄清，怒斥这些帖子都是假信息。教授在声明中写道：“全球都在遭受疫情影响，人们正经历前所未有的痛苦。某些造谣者居然利用我和京都大学的名义来散布污蔑和误导信息，我对此感到非常悲愤。我们应该尽全力集中于疫情控制与治疗，在这个时候散布未经证实的病毒起源阴谋论以分散大众注意力，是非常不当的做法。”京都大学声明和多篇媒体澄清报道中可见，本庶佑教授未曾在武汉实验室工作，也从未发表过病毒是“中国人为制造”的相关言论。	假
孕妇不能使用含氯消毒剂？	有消息称孕妇不能使用含氯消毒剂进行消毒。含氯消毒剂指的是溶于水能产生次氯酸钠的消毒剂。如84消毒液、漂白粉、含氯消毒粉或含氯泡腾片等，主要用于各种物体表面和环境等的消毒。数版《新型冠状病毒肺炎诊疗方案》均指出，含氯消毒剂可有效灭活病毒。但不是名字里含有“氯”字，就是含氯消毒剂，氯己定、氯二甲酚、对氯间二甲苯酚(如滴露、威露士)等都不能杀灭新冠病毒。目前未见有研究报道含氯消毒剂会对孕妇或胎儿产生不良影响。含氯消毒剂应在通风良好的区域配置和使用；避免与其他洗涤剂或消毒液混合，以防引起氯气中毒。	假
王辰院士说中国要实行“群体免疫”？	王辰院士在4月3日答记者问时侧面表示中央已明确要抄英、德、美的作业——‘群体免疫’，趁秋天之前让中青年人感染，才能以最小的代价控制住疫情。否则中国人将被锁在国内，出不了门。王辰院士的原话是：“一些西方国家施行实质性的“群体免疫”策略，以牺牲年老体弱者的生命为代价，换来人群整体免疫水平的上升，疫情之后能够放心打开国门。而我国将人民生命健康放在首位，不放弃一个患者，后期可能面临被动局面，对我们的经济社会发展、国际交流和开放带来不利影响。”所以，王辰院士的本意是分析国外“群体免疫”策略对中国的不利影响，却被故意歪曲为所谓“中国要实行‘群体免疫’”。	假
英国新冠疫苗临床试验者死亡？	社交媒体上有文章称，英国一名接受疫苗注射的志愿者死亡。4月23日，英国牛津大学的一个研究小组进行了首批新冠疫苗临床试验，有两位志愿者接受了疫苗注射，其中一人是牛津大学动物学系的微生物学博士后伊莉莎·格拉纳托，她是第一个接受注射的人。随后，社交媒体上开始流传一篇文章，宣称格拉纳托在接受疫苗注射后不久就去世了。英国广播公司(BBC)的一名医学记者为此辟谣，格拉纳托并没有去世，他已与她通话。格拉纳托也亲自在社交媒体上发文称：“没有什么事情比早上一起来看到宣布自己已经死亡的假文章更奇怪的了。各位，我很好。”在这之后，她将社交媒体账户设为了私密。	假
疫情期间400名儿童成为孤儿？	网传消息称，民政部证实，疫情期间400名儿童的成年亲属死亡成为孤儿。首先，这一说法来自于4月18日民政部公布的统计数据。数据中称，“15个省份发现报告并救助保护了393名因疫情影响造成监护缺失的儿童”。“因疫情影响造成监护缺失的儿童”是指：疫情暴发以来有些父母或其他监护人确认感染、疑似感染或需隔离观察，有些父母或监护人因为参与防疫抗疫工作需要或其他因疫情影响的原因，造成了孩子临时处于无人监护的状态，“监护缺失”与“成为孤儿”有着本质的不同。谣言将两者的概念偷换，炮制出来“400名孤儿”这一耸人听闻的说法。不仅如此，4月24日上午，民政部举行的2020年第二季度例行新闻发布会上，民政部在回应新华社记者提问时特别强调：通过各地全面的走访排查，包括和卫健委等部门的大数据比对，在整个疫情发生以来，全国没有一例因为父母双方感染新冠肺炎去世而造成的孤儿。	假
北京“三里屯北里”属疫情高风险区域？	微博传言称朝阳区财富中心、三里屯北里、农光里、东大桥东里小区等地方属疫情高风险区域。北京市朝阳区人民政府，三里屯街道办事处官方微信“爱尚三里屯”辟谣称，“‘三里屯北里’属疫情高风险区域”为谣言：截至4月23日19时，三里屯地区未出现新冠肺炎病例，无密切接触者。网传三里屯北里，系不实地名，三里屯街道并无此地。网上和部分房地产中介使用的三里屯北里系对辖区情况不了解的误读。 中国疾控中心流行病学首席专家吴尊友在接受央视采访时称，“高风险”这一概念更多是对管理者而言，对于老百姓来说，除非接触到病人，否则感染的风险还是比较低的。他说：“‘高风险’对个人来说只是提醒。”	假
